,dataset,eventId,log_sim,content,template
10,DATASET.Android,E108,"(0.38095238095238093, 0.38095238095238093)","release:lock=226887582, flg=0x0, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=1000, pid=1702","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
11,DATASET.Android,E10,"(0.38095238095238093, 0.38095238095238093)","acquire lock=166121161, flags=0x1, tag=""RILJ_ACK_WL"", name=com.android.phone, ws=null, uid=1001, pid=2626","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
12,DATASET.Android,E108,"(0.38095238095238093, 0.38095238095238093)","release:lock=166121161, flg=0x0, tag=""RILJ_ACK_WL"", name=com.android.phone"", ws=null, uid=1001, pid=2626","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
13,DATASET.Android,E108,"(0.38095238095238093, 0.38095238095238093)","release:lock=264232593, flg=0x0, tag=""AudioMix"", name=audioserver"", ws=null, uid=1041, pid=0","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
14,DATASET.Android,E164,"(0.38461538461538464, 0.38461538461538464)","userActivityNoUpdateLocked: eventTime=261849942, event=2, flags=0x0, uid=1000","userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>"
15,DATASET.Android,E67,"(0.3, 0.3)","interceptKeyBeforeQueueing: key 4 , result : 1","interceptKeyBeforeQueueing: key <*> , result : <*>"
16,DATASET.Android,E164,"(0.38461538461538464, 0.38461538461538464)","userActivityNoUpdateLocked: eventTime=261849949, event=1, flags=0x0, uid=1000","userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>"
17,DATASET.Android,E67,"(0.3, 0.3)","interceptKeyBeforeQueueing: key 4 , result : 1","interceptKeyBeforeQueueing: key <*> , result : <*>"
18,DATASET.Android,E10,"(0.38095238095238093, 0.38095238095238093)","acquire lock=189667585, flags=0x1, tag=""*launch*"", name=android, ws=WorkSource{10113}, uid=1000, pid=1702","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
19,DATASET.Android,E131,"(0.2727272727272727, 0.36363636363636365)",Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide
20,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=508 mask=ffffffff oldVal=40000500 newVal=508 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
21,DATASET.Android,E131,"(0.2727272727272727, 0.36363636363636365)",Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide
22,DATASET.Android,E108,"(0.38095238095238093, 0.38095238095238093)","release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
23,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
24,DATASET.Android,E164,"(0.38461538461538464, 0.38461538461538464)","userActivityNoUpdateLocked: eventTime=261850777, event=2, flags=0x0, uid=1000","userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>"
25,DATASET.Android,E93,"(0.3333333333333333, 0.3333333333333333)","onTouchEvent::0, x=271.0, y=14.0","onTouchEvent::<*>, x=<*>.<*>, y=<*>.<*>"
26,DATASET.Android,E97,"(0.35, 0.35)","overlapAmount:196.0, previousNotificationEnd:0.0, newYTranslation:-196.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-529","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
27,DATASET.Android,E145,"(0.4, 0.4)","state.clipTopAmount:180, i:0","state.clipTopAmount:<*>, i:<*>"
28,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=40000600 mask=ffffffff oldVal=40000500 newVal=40000600 diff=300 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
29,DATASET.Android,E97,"(0.35, 0.35)","overlapAmount:146.0, previousNotificationEnd:0.0, newYTranslation:-146.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-479","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
30,DATASET.Android,E145,"(0.4, 0.4)","state.clipTopAmount:130, i:0","state.clipTopAmount:<*>, i:<*>"
31,DATASET.Android,E97,"(0.35, 0.35)","overlapAmount:119.0, previousNotificationEnd:0.0, newYTranslation:-119.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-452","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
32,DATASET.Android,E145,"(0.4, 0.4)","state.clipTopAmount:103, i:0","state.clipTopAmount:<*>, i:<*>"
33,DATASET.Android,E97,"(0.35, 0.35)","overlapAmount:85.0, previousNotificationEnd:0.0, newYTranslation:-85.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-418","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
34,DATASET.Android,E145,"(0.4, 0.4)","state.clipTopAmount:69, i:0","state.clipTopAmount:<*>, i:<*>"
35,DATASET.Android,E97,"(0.35, 0.35)","overlapAmount:46.0, previousNotificationEnd:0.0, newYTranslation:-46.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-379","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
36,DATASET.Android,E145,"(0.4, 0.4)","state.clipTopAmount:30, i:0","state.clipTopAmount:<*>, i:<*>"
37,DATASET.Android,E97,"(0.35, 0.35)","overlapAmount:5.0, previousNotificationEnd:0.0, newYTranslation:-5.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-338","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
38,DATASET.Android,E145,"(0.4, 0.4)","state.clipTopAmount:-1, i:0","state.clipTopAmount:<*>, i:<*>"
39,DATASET.Android,E93,"(0.3333333333333333, 0.3333333333333333)","onTouchEvent::1, x=296.0, y=327.0","onTouchEvent::<*>, x=<*>.<*>, y=<*>.<*>"
40,DATASET.Android,E164,"(0.38461538461538464, 0.38461538461538464)","userActivityNoUpdateLocked: eventTime=261851646, event=2, flags=0x0, uid=1000","userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>"
41,DATASET.Android,E87,"(0.37037037037037035, 0.37037037037037035)","onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=317.0, y[0]=419.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=261851646, downTime=261851646, deviceId=3, source=0x1002 }, mBlockTouches=false","onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=false"
42,DATASET.Android,E88,"(0.37037037037037035, 0.37037037037037035)","onInterceptTouchEvent MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=317.0, y[0]=419.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=261851713, downTime=261851646, deviceId=3, source=0x1002 }, mBlockTouches=false","onInterceptTouchEvent MotionEvent { action=ACTION_UP, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=false"
43,DATASET.Android,E99,"(0.3333333333333333, 0.3333333333333333)",playSoundEffect   effectType: 0,playSoundEffect   effectType: <*>
44,DATASET.Android,E16,"(0.3333333333333333, 0.3333333333333333)","ActivityRecord info: ActivityInfo{d1c8e63 com.tencent.mobileqq.activity.SplashActivity}, euid: 0","ActivityRecord info: ActivityInfo{<*> <*>}, euid: <*>"
45,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=40000600 newVal=40000500 diff=300 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
46,DATASET.Android,E10,"(0.38095238095238093, 0.38095238095238093)","acquire lock=189667585, flags=0x1, tag=""*launch*"", name=android, ws=WorkSource{10111}, uid=1000, pid=1702","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
47,DATASET.Android,E28,"(0.4, 0.4)","cancelNotification,cancelNotificationLocked,callingUid = 10037,callingPid = 2227","cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>"
48,DATASET.Android,E32,"(0.3333333333333333, 0.3333333333333333)",cancelNotificationLocked:0|com.tencent.mobileqq|121|null|10111,cancelNotificationLocked:<*>|<*>|<*>|null|<*>
49,DATASET.Android,E149,"(0.45161290322580644, 0.45161290322580644)","Taking screenshot from Surface with crop:[Rect(0, 48 - 720, 1208)], width:[432], height:[696], minLayer:[21085], maxLayer:[21085], inRotation:[false], rot:[0]","Taking screenshot from Surface with crop:[Rect(<*>, <*> - <*>, <*>)], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[false], rot:[<*>]"
50,DATASET.Android,E111,"(0.3333333333333333, 0.3333333333333333)",removeNotification:0|com.tencent.mobileqq|121|null|10111,removeNotification:<*>|<*>|<*>|null|<*>
51,DATASET.Android,E163,"(0.42857142857142855, 0.42857142857142855)","updateNotificationShade: total=0, active=0","updateNotificationShade: total=<*>, active=<*>"
52,DATASET.Android,E97,"(0.35, 0.35)","overlapAmount:95.0, previousNotificationEnd:0.0, newYTranslation:-95.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-428","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
53,DATASET.Android,E145,"(0.4, 0.4)","state.clipTopAmount:79, i:0","state.clipTopAmount:<*>, i:<*>"
54,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=508 mask=ffffffff oldVal=40000500 newVal=508 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
55,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=0 mask=1 oldVal=508 newVal=508 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
56,DATASET.Android,E97,"(0.35, 0.35)","overlapAmount:154.0, previousNotificationEnd:0.0, newYTranslation:-154.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-487","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
57,DATASET.Android,E145,"(0.4, 0.4)","state.clipTopAmount:138, i:0","state.clipTopAmount:<*>, i:<*>"
58,DATASET.Android,E97,"(0.35, 0.35)","overlapAmount:213.0, previousNotificationEnd:0.0, newYTranslation:-213.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-546","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
59,DATASET.Android,E145,"(0.4, 0.4)","state.clipTopAmount:197, i:0","state.clipTopAmount:<*>, i:<*>"
60,DATASET.Android,E163,"(0.42857142857142855, 0.42857142857142855)","updateNotificationShade: total=0, active=0","updateNotificationShade: total=<*>, active=<*>"
61,DATASET.Android,E163,"(0.42857142857142855, 0.42857142857142855)","updateNotificationShade: total=0, active=0","updateNotificationShade: total=<*>, active=<*>"
62,DATASET.Android,E132,"(0.4, 0.25)","Skipping, withExcluded: false, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:xxxxxxxxxxx flg=0x10808000 cmp=com.android.contacts/.ChooseSubActivity (has extras) }","Skipping, withExcluded: false, tr.intent:Intent { act=<*> dat=<*> flg=<*> cmp=<*> (has extras) }"
63,DATASET.Android,E133,"(0.36363636363636365, 0.2727272727272727)","Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.VIEW dat=file:///storage/emulated/0/Tencent/QQfile_recv/b.apk typ=application/vnd.android.package-archive flg=0x10800000 cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) }","Skipping, withExcluded: false, tr.intent:Intent { act=<*> dat=<*> typ=<*> flg=<*> cmp=<*> (has extras) }"
64,DATASET.Android,E33,"(0.4117647058823529, 0.4117647058823529)","cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =121","cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>"
65,DATASET.Android,E33,"(0.4117647058823529, 0.4117647058823529)","cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =119","cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>"
66,DATASET.Android,E33,"(0.4117647058823529, 0.4117647058823529)","cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =122","cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>"
67,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=0 mask=1 oldVal=508 newVal=508 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
68,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
69,DATASET.Android,E33,"(0.4117647058823529, 0.4117647058823529)","cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =123","cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>"
70,DATASET.Android,E108,"(0.38095238095238093, 0.38095238095238093)","release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10111}, uid=1000, pid=1702","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
71,DATASET.Android,E33,"(0.4117647058823529, 0.4117647058823529)","cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =129","cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>"
72,DATASET.Android,E33,"(0.4117647058823529, 0.4117647058823529)","cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =135","cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>"
73,DATASET.Android,E33,"(0.4117647058823529, 0.4117647058823529)","cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =140","cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>"
74,DATASET.Android,E33,"(0.4117647058823529, 0.4117647058823529)","cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =144","cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>"
75,DATASET.Android,E33,"(0.4117647058823529, 0.4117647058823529)","cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =193","cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>"
76,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
77,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
78,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
79,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
80,DATASET.Android,E126,"(0.36363636363636365, 0.36363636363636365)","setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
81,DATASET.Android,E10,"(0.38095238095238093, 0.38095238095238093)","acquire lock=237091223, flags=0x1, tag=""WiredAccessoryManager"", name=android, ws=null, uid=1000, pid=1702","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
82,DATASET.Android,E127,"(0.3333333333333333, 0.3333333333333333)",setWiredDeviceConnectionState  type: -2147483632  state: 0,setWiredDeviceConnectionState  type: <*>  state: <*>
83,DATASET.Android,E10,"(0.38095238095238093, 0.38095238095238093)","acquire lock=86152250, flags=0x1, tag=""handleAudioEvent"", name=android, ws=null, uid=1000, pid=1702","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
84,DATASET.Android,E127,"(0.3333333333333333, 0.3333333333333333)",setWiredDeviceConnectionState  type: 4  state: 0,setWiredDeviceConnectionState  type: <*>  state: <*>
85,DATASET.Android,E108,"(0.38095238095238093, 0.38095238095238093)","release:lock=237091223, flg=0x0, tag=""WiredAccessoryManager"", name=android"", ws=null, uid=1000, pid=1702","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
